q_BSC,c_BSC,q_Nusinersen,c_Nusinersen,q_OA,c_OA,q_Risdiplam,c_Risdiplam
0.7772933570373953,1890956.594269703,1.7881315938123623,4390121.334364102,7.710774419719398,4978349.748267485,6.742288765303498,7978687.120242621
0.8028805392187544,1776153.9433721427,3.1168016607690188,5372563.222554023,8.668297999810948,4951443.604758337,7.636607835621864,7757395.822138929
0.730822355070358,1369370.691147923,2.9190372314067905,5048046.097494471,7.858587358914938,4356719.48874927,7.5443468574994785,6897990.641666895
0.976235660182705,2101483.112097364,2.417069510158749,4767197.278291866,6.990718169830499,4924392.721906286,6.296257711371457,7878996.489220564
0.869892426538191,2422996.3357978244,1.6224502671729115,4323791.559701051,7.148263657934178,4952609.084149062,5.943649738587456,7962154.681315811
0.6145906963189393,2045938.9057761293,2.333215600442196,5968356.108834665,6.860788192715869,5776845.692916993,6.1629660196002005,8951471.423799163
0.7793842176010983,2376177.8578551486,1.8125161987793652,4861182.305013397,8.592505504816053,5369685.739810112,6.865282717136459,7200882.272079129
0.6617926143022121,1023134.7655768594,2.2304492217688727,3642184.111931408,7.9405754860358195,4264390.601874348,8.967677381250919,7082688.386844751
0.6104143395744216,1724308.5247811212,1.3303652315022714,4450725.380766822,3.8910107341713953,4536119.573249463,3.815028495154801,7154392.8648381485
0.6190674662766751,886980.2461919977,2.4256347241866756,4941588.716605319,6.038893331928997,4655177.467797782,6.096524736073069,7383660.027385133
0.7132182787145369,1956703.887873167,2.941525643101288,5562206.640613043,7.831586419426355,5098539.493708659,8.252873988075827,8263674.833235202
0.8082305450719485,2429894.3320300635,2.0693335812443228,4651031.792272606,9.257286843342264,4976859.4923797,6.501253340138874,6636919.9691874385
0.490187538131285,1101355.0576168606,2.519816873023572,4462287.711370343,8.601989763789952,4800407.080785978,7.10265398661098,7121933.92985993
0.44674362469471673,964998.0439573138,3.5150447081409597,6151513.726450675,5.829487270092503,4213486.159393071,6.325820240671204,6843560.79104533
0.5195184794096036,1120159.100312492,1.502684920730831,3725534.099313323,5.443116308753963,4577813.515944216,4.684541472393011,5935814.168945094
0.6395621848445421,1975935.3356388633,3.107228040378745,5761813.390631245,7.786974723144482,5189820.574986874,7.391518362256495,7705187.00010878
0.7190021323664496,1715053.3061684822,2.164332609278712,4652454.219857606,9.057450114855708,5236764.196349571,8.395656556141128,8543444.541565957
0.504250429436645,1169733.3138152584,1.5081973162931943,3559150.2305972,8.065214874344878,4948638.338742662,6.835518774022761,8144515.59167004
0.6065095343141438,2023554.5427018711,1.798167635299458,5083224.410002399,7.080260631567833,5654296.70602564,6.768322341143932,8192027.126188437
0.6257936917908289,1642987.469309407,2.0530697134036138,4687808.709442015,5.703348328129669,4209964.48920834,6.947722502869855,7322559.851482593
0.5059516037215792,1504521.069318995,1.3512283665980531,3836063.563808053,6.270753771322522,4754511.464656762,5.2566617229769,8041048.941057157
0.5812742606460001,1582446.368862636,2.922044117474812,5969255.190852804,7.1364437145021595,5125640.951319873,7.039140646640286,8718318.461035993
0.5974675409428989,1701038.7556652757,2.470195244697896,4766966.705747003,8.801303393408721,4891434.0440173745,6.8114262169303785,7407971.701623688
0.9395526287457544,2098955.0746183777,2.7908670754727654,5419670.915402275,4.907112732081415,4357313.909196152,6.142970949583526,7139799.307231847
1.0510823590601102,2191860.580881831,2.795128147573061,4896953.790562106,7.437909723727541,4348297.733519387,6.903912751590784,7013183.146794594
0.5738106356921886,1842432.0601397858,2.2606865871213677,4926725.323117821,8.566810637321055,5234732.063784573,8.142379125747972,8391639.214247834
1.0116176337663745,2058377.7399695516,2.266426977474728,4864714.599566139,7.543379721079564,4974101.272414796,6.455310355742471,7814978.994762452
0.7314598641215369,1851016.2732559608,2.1487359977645477,5648441.461668472,5.451081386291653,4921705.005435536,5.491935603652191,8571307.729241056
